#name	ra	dec	avgflux	peakflux
B20619+33	95.71759	33.43622	397.75	713
B20716+33	109.83092	33.11936	394.7	568
PKS2356+196	359.69202	19.92231	393.1818182	548
TXS0106+612	17.4431	61.55846	392.1428571	500
B30035+413	9.60352	41.61833	385	385
S41851+48	283.11896	48.92986	375.7142857	503
RGBJ0521+212	80.44154	21.21427	370.7692308	474
B22319+31	350.47897	32.06878	361	440
CGRABSJ1159-2148	179.96628	-21.81492	360.2	384
WComae	185.38203	28.23292	353.6470588	534
PKS0519+01	80.57278	1.22533	350.375	388
TXS1318+225	200.29668	22.27003	350	432
PMNJ0847-0703	131.9864	-7.0547	347.8333333	448
TXS1013+054	154.01308	5.21731	342.5454545	661
OP151	203.3991	16.81779	341.9	397
NVSSJ020344+304238	30.93375	30.71058	331.625	431
4C+67.04	17.55364	68.09478	328.8	391
S50916+86	142.4294	86.20591	327.4	440
1H0323+342	51.17151	34.1794	327.2666667	503
CTD93	242.3055	26.6914	325.3333333	363
ON325	184.46701	30.11684	320	404
SBS0846+513	132.49158	51.1414	319.7142857	456
TXS2241+406	341.05304	40.95378	318	433
PMNJ0942-0800	145.58942	-7.99811	317.5	418
S50159+723	30.8891	72.54824	314.8333333	431
PKS0019+058	5.63517	6.13452	307.7142857	353
TXS1811+062	273.38922	6.26168	305	436
PMNJ0206-1150	31.60869	-11.84437	303.8571429	420
4C+62.12	126.41088	61.95794	303.25	343
RGBJ1551+581	237.99252	58.11235	303	310
GB6J0625+4440	96.3261	44.66712	302.8888889	403
OW154.9	308.84305	10.93522	302.6666667	376
87GB061258.1+570222	94.32051	57.02123	298.2222222	500
B30609+413	93.21327	41.37706	292.25	503
87GB175437.6+153548	269.22125	15.58912	291	310
MG1J221916+1806	334.80872	18.10988	283.4285714	520
GB6J0253+3217	43.39021	32.28913	280.7272727	338
CGRaBSJ0433+2905	68.40762	29.09874	279.2	338
CRATESJ0941-1335	145.26062	-13.5975	279.1428571	360
S50346+80	58.69219	80.15801	277.2	323
PMNJ0017-0512	4.39924	-5.2116	277.125	431
OQ240	216.75163	23.80001	275.4545455	540
